SepalLengthCm,PetalLengthCm,Species_Iris-versicolor,Species_Iris-virginica
0.2222222222222221,0.0677966101694915,False,False
0.1666666666666667,0.0677966101694915,False,False
0.1111111111111111,0.0508474576271186,False,False
0.0833333333333332,0.0847457627118644,False,False
0.1944444444444444,0.0677966101694915,False,False
0.3055555555555556,0.1186440677966101,False,False
0.0833333333333332,0.0677966101694915,False,False
0.1944444444444444,0.0847457627118644,False,False
0.0277777777777779,0.0677966101694915,False,False
0.1666666666666667,0.0847457627118644,False,False
0.3055555555555556,0.0847457627118644,False,False
0.1388888888888888,0.1016949152542373,False,False
0.1388888888888888,0.0677966101694915,False,False
0.0,0.0169491525423728,False,False
0.4166666666666665,0.0338983050847457,False,False
0.3888888888888888,0.0847457627118644,False,False
0.3055555555555556,0.0508474576271186,False,False
0.2222222222222221,0.0677966101694915,False,False
0.3888888888888888,0.1186440677966101,False,False
0.2222222222222221,0.0847457627118644,False,False
0.3055555555555556,0.1186440677966101,False,False
0.2222222222222221,0.0847457627118644,False,False
0.0833333333333332,0.0,False,False
0.2222222222222221,0.1186440677966101,False,False
0.1388888888888888,0.1525423728813559,False,False
0.1944444444444444,0.1016949152542373,False,False
0.1944444444444444,0.1016949152542373,False,False
0.25,0.0847457627118644,False,False
0.25,0.0677966101694915,False,False
0.1111111111111111,0.1016949152542373,False,False
0.1388888888888888,0.1016949152542373,False,False
0.3055555555555556,0.0847457627118644,False,False
0.25,0.0847457627118644,False,False
0.3333333333333332,0.0677966101694915,False,False
0.1666666666666667,0.0847457627118644,False,False
0.1944444444444444,0.0338983050847457,False,False
0.3333333333333332,0.0508474576271186,False,False
0.1666666666666667,0.0847457627118644,False,False
0.0277777777777779,0.0508474576271186,False,False
0.2222222222222221,0.0847457627118644,False,False
0.1944444444444444,0.0508474576271186,False,False
0.0555555555555555,0.0508474576271186,False,False
0.0277777777777779,0.0508474576271186,False,False
0.1944444444444444,0.1016949152542373,False,False
0.2222222222222221,0.1525423728813559,False,False
0.1388888888888888,0.0677966101694915,False,False
0.2222222222222221,0.1016949152542373,False,False
0.0833333333333332,0.0677966101694915,False,False
0.2777777777777777,0.0847457627118644,False,False
0.1944444444444444,0.0677966101694915,False,False
0.75,0.6271186440677966,True,False
0.5833333333333335,0.5932203389830508,True,False
0.7222222222222223,0.6610169491525424,True,False
0.3333333333333332,0.5084745762711864,True,False
0.6111111111111112,0.6101694915254237,True,False
0.3888888888888888,0.5932203389830508,True,False
0.5555555555555556,0.6271186440677966,True,False
0.1666666666666667,0.3898305084745762,True,False
0.6388888888888888,0.6101694915254237,True,False
0.25,0.4915254237288134,True,False
0.1944444444444444,0.423728813559322,True,False
0.4444444444444446,0.5423728813559322,True,False
0.4722222222222223,0.5084745762711864,True,False
0.4999999999999998,0.6271186440677966,True,False
0.3611111111111109,0.4406779661016949,True,False
0.6666666666666667,0.576271186440678,True,False
0.3611111111111109,0.5932203389830508,True,False
0.4166666666666665,0.5254237288135593,True,False
0.5277777777777779,0.5932203389830508,True,False
0.3611111111111109,0.4915254237288134,True,False
0.4444444444444446,0.6440677966101694,True,False
0.4999999999999998,0.5084745762711864,True,False
0.5555555555555556,0.6610169491525424,True,False
0.4999999999999998,0.6271186440677966,True,False
0.5833333333333335,0.559322033898305,True,False
0.6388888888888888,0.576271186440678,True,False
0.6944444444444444,0.6440677966101694,True,False
0.6666666666666667,0.6779661016949152,True,False
0.4722222222222223,0.5932203389830508,True,False
0.3888888888888888,0.423728813559322,True,False
0.3333333333333332,0.4745762711864406,True,False
0.3333333333333332,0.4576271186440678,True,False
0.4166666666666665,0.4915254237288134,True,False
0.4722222222222223,0.6949152542372881,True,False
0.3055555555555556,0.5932203389830508,True,False
0.4722222222222223,0.5932203389830508,True,False
0.6666666666666667,0.6271186440677966,True,False
0.5555555555555556,0.576271186440678,True,False
0.3611111111111109,0.5254237288135593,True,False
0.3333333333333332,0.5084745762711864,True,False
0.3333333333333332,0.576271186440678,True,False
0.4999999999999998,0.6101694915254237,True,False
0.4166666666666665,0.5084745762711864,True,False
0.1944444444444444,0.3898305084745762,True,False
0.3611111111111109,0.5423728813559322,True,False
0.3888888888888888,0.5423728813559322,True,False
0.3888888888888888,0.5423728813559322,True,False
0.5277777777777779,0.559322033898305,True,False
0.2222222222222221,0.3389830508474576,True,False
0.3888888888888888,0.5254237288135593,True,False
0.5555555555555556,0.847457627118644,False,True
0.4166666666666665,0.6949152542372881,False,True
0.7777777777777777,0.8305084745762712,False,True
0.5555555555555556,0.7796610169491525,False,True
0.6111111111111112,0.8135593220338982,False,True
0.9166666666666664,0.9491525423728812,False,True
0.1666666666666667,0.5932203389830508,False,True
0.833333333333333,0.8983050847457625,False,True
0.6666666666666667,0.8135593220338982,False,True
0.8055555555555556,0.8644067796610169,False,True
0.6111111111111112,0.6949152542372881,False,True
0.5833333333333335,0.7288135593220338,False,True
0.6944444444444444,0.7627118644067796,False,True
0.3888888888888888,0.6779661016949152,False,True
0.4166666666666665,0.6949152542372881,False,True
0.5833333333333335,0.7288135593220338,False,True
0.6111111111111112,0.7627118644067796,False,True
0.9444444444444442,0.9661016949152544,False,True
0.9444444444444442,1.0,False,True
0.4722222222222223,0.6779661016949152,False,True
0.7222222222222223,0.7966101694915254,False,True
0.3611111111111109,0.6610169491525424,False,True
0.9444444444444442,0.9661016949152544,False,True
0.5555555555555556,0.6610169491525424,False,True
0.6666666666666667,0.7966101694915254,False,True
0.8055555555555556,0.847457627118644,False,True
0.5277777777777779,0.6440677966101694,False,True
0.4999999999999998,0.6610169491525424,False,True
0.5833333333333335,0.7796610169491525,False,True
0.8055555555555556,0.8135593220338982,False,True
0.8611111111111112,0.8644067796610169,False,True
1.0,0.9152542372881356,False,True
0.5833333333333335,0.7796610169491525,False,True
0.5555555555555556,0.6949152542372881,False,True
0.4999999999999998,0.7796610169491525,False,True
0.9444444444444442,0.8644067796610169,False,True
0.5555555555555556,0.7796610169491525,False,True
0.5833333333333335,0.7627118644067796,False,True
0.4722222222222223,0.6440677966101694,False,True
0.7222222222222223,0.7457627118644068,False,True
